sensor_type,date,recorded
ms_p2:sensor:, 2/15/2016 11:46:28 AM,0
ms_p2:sensor:, 2/15/2016 11:46:41 AM,255
ms_p2:sensor:, 2/15/2016 11:46:43 AM,0
ms_p2:sensor:, 2/15/2016 12:26:26 PM,255
ms_p2:sensor:, 2/15/2016 12:26:28 PM,0
ms_p2:sensor:, 2/15/2016 12:27:08 PM,255
ms_p2:sensor:, 2/15/2016 12:27:10 PM,0
ms_p2:sensor:, 2/15/2016 2:11:33 PM,255
ms_p2:sensor:, 2/15/2016 2:11:36 PM,0
ms_p2:sensor:, 2/15/2016 4:49:46 PM,255
ms_p2:sensor:, 2/15/2016 4:49:48 PM,0
ms_p2:sensor:, 2/15/2016 7:21:36 PM,255
ms_p2:sensor:, 2/15/2016 7:21:38 PM,0
ms_p2:sensor:, 2/15/2016 7:22:03 PM,255
ms_p2:sensor:, 2/15/2016 7:22:05 PM,0
ms_p2:sensor:, 2/15/2016 7:22:33 PM,255
ms_p2:sensor:, 2/15/2016 7:22:35 PM,0
ms_p2:sensor:, 2/15/2016 10:00:15 PM,255
ms_p2:sensor:, 2/15/2016 10:00:17 PM,0
ms_p2:sensormultilevel::luminositysensor:, 2/8/2016 1:08:44 AM,3
ms_p2:sensormultilevel::luminositysensor:, 2/10/2016 1:11:51 AM,37
ms_p2:sensormultilevel::luminositysensor:, 2/11/2016 3:24:47 PM,141
ms_p2:sensormultilevel::luminositysensor:, 2/11/2016 3:28:53 PM,0
ms_p2:sensormultilevel::luminositysensor:, 2/11/2016 3:32:53 PM,1
ms_p2:sensormultilevel::luminositysensor:, 2/11/2016 3:36:53 PM,6
ms_p2:sensormultilevel::luminositysensor:, 2/11/2016 3:40:53 PM,7
ms_p2:sensormultilevel::luminositysensor:, 2/11/2016 3:44:53 PM,0
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 11:16:59 AM,9
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 11:20:59 AM,6
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 11:28:58 AM,7
ms_p2:sensormultilevel::luminositysensor:, 2/13/2016 11:40:59 AM,2
